,cleaned_text,target
3245,thrown debris house better keep,0
3246,stormbrendan significant overtopping around high tide monday evening led closure prom water abated late,0
3247,hi a737 south linwood cut passed large debris middle carriageway box kind,1
3248,freediving gordons bay waste time taking gopro vi 2m debris eve,0
3249,youre storm need start running instantly need lucky enough tornado never stray,0
3250,bird usually confuse shred plastic bag food end eating toxic debris zeroplasticrun iamrespons,0
3251,stormbrendon also bringing high wind difficult driving condition slow prepared gust,1
3252,particularly bad result sw vesta poor parking bike lane sidewalk covered tree debris,0
3253,stormbrendan update800 tuesday significant overtopping around high tide monday evening led closure pr,1
3254,senate president vicente sotto iii proposing cloud seeding operation conducted area affected rec,0
3255,screen wipe best monitor screen used regularly help keep wi,0
3256,unfortunately plan fail 3 immediately separated pursuing guard spot mafu hide behin,0
3257,senate president tito sotto im proposing cloud seeding action taal volcano affected area wait rai,0
3258,hubris pronounced like debris pronounced like,0
3259,rain wind time think getting gutter cleared guttering laden heavy de,0
3260,archaeology31 layer archivearchaeology layer dust biological debris book count archive book arc,0
3261,love view san marcos guess san marcos building pictured want remind resid,0
3262,result betrayal sentence widespread normalized homosexual activity deluge,0
3263,insurance sector seen deluge disruption multiple direction model show promis,0
3264,try best week deluge poetry people get le resp,0
3265,something going wrongbadly horrifically wrongwith america young white men happening largely online,0
3266,know bro every piece history lie history know stolen one,0
3267,creek craving deceive decelerate deluge demeanor demolish denote discard disdain,0
3268,figure brexit festival figure manipulation r,0
3269,believe anything else relentless deluge bad doesnt rest,0
3270,opinion state nerc found necessary increase tarrif may lead,0
3271,murdochderangementsyndrome hit shore strong iod led cold wet winterspring,0
3272,could imaginative name like fustercluck shitstorm shamble deluge,0
3273,great get spray gravity ascopure today walk boom incoming del,0
3274,work calm yall better ready deluge keep hand eizouken fan art,0
3275,well every republican congress take turn react comment impotus tweet way th,0
3276,insurance sector seen deluge disruption multiple direction model show promis,0
3277,one problem living bermondsey moment anyone mention biblical weather expect,0
3278,guess 2012 cuspm deletefacebook came deluge twit,0
3279,slap say rubbish next crave imagine th,0
3280,training learn deluge scripting thirdparty app integration ai mobile sdks creator much join thi,0
3281,weird deluge amp driving wind windy amp cold time light fire amp warm,0
3282,try best week deluge poetry people get le r,0
3283,may need brolly today rdguk weather slough,0
3284,think clemson bama last year basically way win game,0
3285,see instagram video,0
3286,slap say rubbish next crave ima,0
3287,data water termsfinalfinal lake stream flow storm cloud fog pipeline firehose hydrate filter c,0
3288,training learn deluge scripting thirdparty app integration ai mobile sdks creator much j,0
3289,deluge like backdate,0
3290,app website omg still remember pokemon deluge circa 2010,0
3291,sudden deluge rain could fall bushfireravaged part new south wale weekend forecast prove correc,0
3292,sudden deluge rain could fall bushfireravaged part new south wale weekend nsw,0
3293,keep rattling bar screaming terrified everyone constant deluge,0
3294,eternal landlord,0
3295,increased fertility iqgap incomepremium wont stem deluge incontinent dimwit reproduction,0
3296,sure digging deluge hypercriticism perpetually hounding significant female candidate presi,0
3297,ive struggled bit point cant think prominent recent head state,0
3298,online factcheckers confront deluge bushfire misinformation via,0
3299,pro caa deluge kharges backyard supportcaa,0
3300,ccpa taking effect many business start see data subject request come system thou,0
3301,ccpa taking effect many business start see data subject request come system,0
3302,ran well confirmed ran despite campaign refusing comm,0
3303,massive deluge way wooohooo,0
3304,come twitter deluge positive respect much putting country,0
3305,black man say jew white man king unbelievably based,0
3306,vodafone join deluge company banning limited company contractor ir35 reform ir35 con,0
3307,oh bolstered hatred landlord social thing im open alw,0
3308,always certain degree respect sex worker video guess made open,0
3309,comment section fucking cancer laila person probably wrong vaushs point misunderstoo,0
3310,look forward deluge mortally okay want bang ewan mcgregors black mask post,0
3311,people try argue basic logic abstained drawing graduat,0
3312,forecaster saying there lot rain go round next eight day part bushfireravaged area,0
3313,sorry deluge ive wanting say least 2 month found opportunity sdfjs,0
3314,ang lala hahaha woke deluge death threat hahahaha,0
3315,science behind great deluge carved earth,0
3316,deluge,0
3317,seems crumbling rapidly deluge bad news dont think he coping,0
3318,online factcheckers confront deluge bushfire misinformation,0
3319,venice worst flood happened 1966 time expert thought flood oncein800 year event november flood,1
3320,angelise iuml however cant help saying iuml done yeoman work kerala delug,0
3321,right debate deadline there deluge poll showing yang 5,0
3322,let deluge email begin,0
3323,extent agree mormonism go beyond esp early mormonism represen,0
3324,ive played dampd nearly fifteen year recently hesitantly,0
3325,tuesday podcast deluge hit sure check interview 2740,0
3326,torrential rain greeted like old friend northern territory community weekend tropical weat,0
3327,well cry yet another fampking deluge,0
3328,moviemonday ourhospitality 1923 busterkeatons 1st masterpiece said rogerebert amp deluge positi,0
3329,mormonism islam american,0
3330,thing synthesize pagan synthesized king jesus charles manson,0
3331,deluge selfhelp motivational book market might seem mystifying people manage actuall,0
3332,havent noticed much difference former importantly latter,0
3333,really gon na take l download deluge bittorrent client,0
3334,hayward break seal im afraid well still see deluge 5 trade scenario involving gordon hayward story tomorrow,0
3335,ive heard people complain bucket rain though rain sent destroy em youd think theyre,0
3336,forecaster saying there lot rain go round next eight day part bushfireravaged,0
3337,since official clearly decided theyre cap tonight brindamour get tossed tort,0
3338,bernies surging poll get ready deluged manufactured controversy,0
3339,2 decided cover story great detail surprise last month video,0
3340,8 morning bernies surging poll get ready deluged manufactured controve,0
3341,bernies surging poll get ready deluged manufactured controversy,0
3342,wow asked question interviewing yesterday ive deluged response candidate recruit,0
3343,bernies surging poll get ready deluged manufactured controversy week,0
3344,please read callevery single call matter change mind representative remember vote ac,0
3345,bernies surging poll get ready deluged manufactured controversy,0
3346,austria long drought 2007 flew vienna visit partner studied,0
3347,please read callevery single call matter change mind representative remember vote,0
3348,new year resolution architect never demolish,0
3349,didnt really demolish u 21 etihad,0
3350,demolish,0
3351,mad team season fully demolish city 3 time,0
3352,iba ufbu good nothing two illegal entity curse 10 lakh banker amp 4 lakh bank,0
3353,demolish kevins house home alone happened two men,0
3354,demolish,0
3355,1 important need help log cabin west hollywood place friend recovery sought help,0
3356,israel move demolish house belonging parent palestinian prisoner jenin day,0
3357,iba ufbu good nothing two illegal entity curse 10 lakh banker amp 4 l,0
3358,wont demolish property without paying owner gov makinde readthis,0
3359,since maraduflats fiasco please demolish palarivattam flyover,0
3360,ganduje resign become fullfledged imam dedicate time setti,0
3361,israel pure evil israel jerusalem municipality sunday forced palestinian citizen demolish house j,0
3362,appeal every one reach shaheenbaghprotests police demolish peaceful protest,0
3363,ganduje resign become fullfledged imam dedicate time,0
3364,assault velentina aisas dolan samantha adblock 5th january around 3 pm akshat awasthi clea,0
3365,kerala first state demolish high rise building per supreme court order,0
3366,build couple storey took year stand take second demolish burried sand carrie,0
3367,yooo would demolish tray,0
3368,israel demolish home palestinian prisoner westbank warcrimes via,1
3369,sure based previous current form demolish manutd chance lose l,0
3370,invests 99 million provides israel military bulldozer us demolish,0
3371,always demolish fridge like rabid raccoon cant sleep ive atleast 7 dinner point,0
3372,excellent article especially thoughtprovoking south east london light,0
3373,road construction would demolish property without engaging owner paying due compensation maki,0
3374,there distance wouldnt travel land wouldnt seize length wouldnt go enemy great could,0
3375,dr twitter frnds bhogi 2020 festival shall demolish anti caanrc gang ruthlessly,0
3376,rt palestinechron israel demolish home palestinian prisoner westbank warcrimes,1
3377,honestly dont know really youre getting struggle ur bet forget,0
3378,oyo state governor seyi makinde declared government would demolish property fa,0
3379,anna letter ally recently demolish grandfather work literally meghan harry wan,0
3380,time demolish bercowbacked shanty town outside parliament via,0
3381,time demolish parliament medium shanty town never allowed happen thank mr berc,0
3382,israel move demolish house belonging parent palestinian prisoner jenin,1
3383,demolish house,0
3384,yes let build lego ot glazer demolish real one glazersout,0
3385,yes let build lego ot glazer demolish real one glazersout,0
3386,vote bernie nominee isnt sander election day ill stay home watch trump demolish co,0
3387,time demolish bercowbacked shanty town outside parliament,0
3388,wont demolish property without engaging owner makinde,0
3389,rt palestinechron israel demolish home palestinian prisoner westbank warcrimes,1
3390,rt palestinechron israel demolish home palestinian prisoner westbank warcrimes,1
3391,israeli authority order jerusalemite demolish home via pic,0
3392,israel demolish home palestinian prisoner westbank warcrimes via,1
3393,foundation flawed cracked dont repair demolish start like house thats structura,0
3394,new year resolution architect never demolish case never demolishing another building,0
3395,first experience environmental activism newbury bypass 1996 tree gone amp one,0
3396,one could demolish right,0
3397,never demolish never remove replace always add transform reuse look way london b,0
3398,primary school mathematics textbook india question 15 kar sevaks hindu volunteer demolish babri mo,0
3399,planned demolish flat way built dr anil joseph draniljoseph maradudemolition,0
3400,make right decision specially case encroachment local mohalas lahore,0
3401,oyo state governor engineer seyi makinde declared government would demolish property facilit,0
3402,always liked warren think bernie would absolutely demolish trump biggest mutha effen,0
3403,tweet administration court trying demolish pre existing conditio,0
3404,even belive constitution unlike u utilis,0
3405,cant wait 4 come back absolutely demolish kpop know,0
3406,3035 occupancy certificate issued since 1996 high,0
3407,road project wont demolish property without informing owner gov makinde governor oyo state seyi makin,0
3408,r u fucking sr demolish men,0
3409,great pod ever pub battle britain gravesendnorthflee,0
3410,israeli apartheid 2019 number 132 palestinian killed israeli force 15355 injured 621 palestinian structu,0
3411,also ridiculed 112 foot adiyogi coimbatore officer charge granting permiss,0
3412,supreme court judge play dirty game one set judgement elite one set judgement poor 5 maradu fla,0
3413,gk vehicle car bazaar belongs politician kiambu car bazaar demolished february 2019,0
3414,bos systematically demolished whilst live television,0
3415,nankanasahib report sikh house demolished expulsion madhya pradesh page pak,0
3416,55 second flat demolished 150 year old party supposed got u freedom gbritainthis man,0
3417,already choked dwarka due construction overburden home many bird specie neelgai demolished,0
3418,hole ground one fit station despite spurik never,0
3419,totally agree victorian station demolished replaced portakabin,0
3420,demolished love,0
3421,yet unfortunately many city heritage site left rot demolished,0
3422,tell u ahmedi mosque demolished pak ahmedi ar,0
3423,got ta hand weird gun girl interviewing college kid getting ruthlessly demolished every time,0
3424,get far ranked good fragger demolished team communicate,0
3425,abu amrah family gaza strip homeless two month house demolished israeli air str,1
3426,already made provision financing construction road 2020 budget engaging property ow,0
3427,28 menstrual hut demolished single ward dotis rural municipality,0
3428,go transforming fc private chamber simple modern lounge inspired old build visited th,0
3429,maybe andrew pay back million th,0
3430,chai there happening joint artillery junction close ecobank mimi joint grill,0
3431,beautiful great grandmother used monkey puzzle tree front garden lived,0
3432,fine internet want opinion royal family think royal family scattered wind,0
3433,lebron james scored 31 point passed isiah thomas alltime assist list lakers demolished caval,0
3434,one favorite pastime watch old msnbc vids getting demolished jeremy scahill oh joy,0
3435,abu amrah family gaza strip homeless two month house demolished israeli air,1
3436,bill brandt public bar charlie brown limehouse c 1942 aka railway tavern pub corner ga,0
3437,abu amrah family gaza strip homeless two month house demolished israeli air stri,1
3438,saw lot litter around ushaka beach albeit heavy rain driving th,0
3439,looking back openend spinning atlas mill waterloo building stood junction oldham road,0
3440,twentyeight menstrual hut demolished single ward badikedar rural municipality doti district c,0
3441,twentyeight menstrual hut demolished single ward badikedar rural municipality doti district,0
3442,yesterday night goon demolished ysrcp foundation stone denduluru constituency innocent bjp worker mrmurali,0
3443,one lucky,0
3444,tallest building demolished india today kochi per sc order perfect implosion absolutely damage,0
3445,would hilarious werent tragic got played taking back control dont think austerity,0
3446,since people wan na get mad kid clip getting absolutely demolished u happy http,0
3447,new housing replace jerusalem absorption center,0
3448,india demolishes kerala skyscraper environmental violation good step supreme cour,0
3449,dome removed mosque china islam chinazi,0
3450,justice mishra said court would like keep eye goingson case especially debris dem,0
3451,adjacent plot owner whose plot 8ft65ft road wideninghe troubling since 20,0
3452,need shit demolished,0
3453,didnt know looked like moved away still baby also ho,0
3454,28 menstruation hut demolished single ward,0
3455,totally agree melbourne many building demolished leaving facade,0
3456,found u demolished corporate builder trump one demolishers,0
3457,busking cambridge sunday trinitystreet site demolished church allsaintspassage,0
3458,orpington 0201hrs direct hit diver flying bomb 102104 court rd five twostorey semidetached house,0
3459,many illegal building demolished city guadalajara enrique alfaro mitigation,0
3460,myreport maradus holy faith h20 alfa serene apartment demolished 11 january cj stayed b,1
3461,lebron james scored 31 point passed isiah thomas alltime assist list lakers demolished,0
3462,idk dawg watchin bbws get demolished bbcs impacted view interaction woman ok,0
3463,previously worked used designated smoking area demolished,0
3464,family gaza homeless 2 month house demolished israeli air strike 17 family mem,1
3465,dont back state fool remember got demolished ge starmer,0
3466,dont back state fool remember got demolished ge star,0
3467,literally demolished entire routine dismount,0
3468,indian supreme court ordered demolition apartment building violation law pakistani sc regularised illegality,0
3469,ch tanveers pmln senator house islamabad demolished co built encroached land,0
3470,encounter life since dusk uknown feminine silverette pride musician bein,0
3471,built illegally occupied land opposed demolished even,0
3472,given away medium sydney test series marking th,0
3473,pagan temple closed demolished stripped marble build church,0
3474,funny thing per revised crz regulation made,0
3475,funny thing per revised crz regulation made b,0
3476,explained crz rule demolished maradu flat violated explained newsthe indian express,0
3477,seacombe railway station demolition awaiting beginning kingsway tunnel conversion,0
3478,fed waiting skip mone bros grab service help domestic amp commercial grab need contact derek,0
3479,normally im using historic preservation law prevent demolition public building n,0
3480,planned demolition palestinian house hebron besides planned release palestinian prisoner,0
3481,looking forward national federation demolition contractor lampsc regional meeting today london,0
3482,russian influence cost brexit far jennifer arcuri cambridge analyt,0
3483,democrat dysfunctional demolition derby tuesday debate promise remaining,0
3484,truth revealed demolition man three seashell explained kinda via,0
3485,case missed demolition ilford station entrance start month crossrail upgrade begin http,0
3486,learnt trade bl back see least 3 old office workshop photo sad see g,0
3487,first time six month vlccs sold demolition bahri bihar allegedly sold one,0
3488,going 2 demolition ask,0
3489,demolition house perrainnual untimely operation amp legally costly realize tht problem reciprocal,0
3490,russian influence cost brexit far jennifer arcuri cambridge ana,0
3491,yesterday got rare goodfaith question demolition existing context fourplex legalization,0
3492,according assembly informed settler two year ago concerning demolition exercise sarah,0
3493,didnt inform demolition appeared morning around 5am equipment started,0
3494,1 dehumanisation 2 liberalisation 3 demolition 19922020,0
3495,even demolition marad multi storied building doesnt understand power la,0
3496,news demolition exercise ongoing kawukude near gold house correspondent sarah joined u phone,0
3497,dedma nio sila demolition tactic ignore engage let happy lang tsmak,0
3498,according assembly informed settler two year ago concerning demolition exercise sarah yensempa,0
3499,prayer settler awayaso east municipal assembly affected demolition exercise execu,0
3500,another large bulker head breaker shipping maritime shippingindustry drybulk,0
3501,another large bulker head breaker shipping maritime shippingindustry drybulk,0
3502,15 minute morning thats kevin de bruyne reveals guardiolas quarterhour masterplan,0
3503,hugely topical wellinformed comment clever people bravo,0
3504,didnt inform demolition appeared morning around 5am equipment,0
3505,jayadeva flyover main loop demolition begin jan 16th right,0
3506,morningcrossfire demolition building flyover construction lacuna always advocated fo,0
3507,morningcrossfire demolition building flyover construction land use act state method compe,0
3508,morningcrossfire demolition building flyover construction mobil filling station garrison rejected,0
3509,morningcrossfire demolition building flyover construction discussion landlord started,0
3510,israel distributes demolition notice 8 palestinian family south west bank detail,0
3511,jayadeva flyover demolition begin thursday via,0
3512,trongate development move closer two demolition approval icymi,0
3513,news demolition exercise ongoing kawukude near gold house correspondent sarah joined u ph,0
3514,comment rather question q1 provision made,0
3515,michael stacey teaching fellow argued recent event sometimes demolition,0
3516,architect talk demolition profession dirty secret something prefers turn blind ey,0
3517,demolition well way riviera bay holiday park getting ready summer teamworking demolition,0
3518,sale contract signed deal done ask much else expected dil,0
3519,1800s area occupied hospital demo,0
3520,midland railway trent railway station c 1914 place transport complexity many different line came tog,0
3521,21 housing unit judge demolition eight bungalow ridge,0
3522,morningcrossfire demolition building flyover construction however advise tenant landl,0
3523,could leader congress show courage demolition article 370 power mon,0
3524,racing series bk 3mystery secret demolition derby catch rt bynr inspy,0
3525,served place worship christian later sikh,0
3526,hitachi uk roll cesar,0
3527,look like demolition man,0
3528,21 housing unit judge demolition eight bungalow ridge,0
3529,morningcrossfire demolition building flyover construction case tenant developed propert,0
3530,australian war memorial go back drawing board required modify 500 million redevelopment p,0
3531,controlled demolition,0
3532,maradu apartment demolition yet time say justice served,0
3533,medieval city gate tower lane leading st john steep demolition march 1911 sac,0
3534,realestateau rt hsunrealestate there positive central geelong amid saga,0
3535,sale contract signed deal done ask much else expected,0
3536,nowplaying demolition man 2018 flotsam jetsam,0
3537,im sure contrived story breaking 48 hour next demdebate 3 week iowacau,0
3538,wait ir35 kick see much economy shrink idea yo,0
3539,see celebration democracy tried derail 3years,0
3540,number go female democratic candidate republican attempt,0
3541,great younger age isnt common wish much greater year ahead bro stay focused cre,0
3542,design ar15 could derail charge tied popular rifle worried mighty,0
3543,without right cover death disability critical illness derail family finance coverage need chang,0
3544,love support ancientroots israel herbal medicine conference feb 2020 holyland,0
3545,throwing sort bullshit story try distract derail bernie 2020 team workingclass,0
3546,actually derail democratic cause people harping past u allowing every damned thing b,0
3547,course understand doesnt understand consent sex consen,0
3548,uh fact refund mean shes abusing,0
3549,would echo sentiment whole heartedly dr drew need passion posse derai,0
3550,economic planning chief say taal volcanic activity cant derail ph economic growth,0
3551,sir want tell truth magic man full power one destroy amer,0
3552,dont try derail generalizing,0
3553,reply guy conservative politics word searched term come thread amp use common tactic whatab,0
3554,look modi bjps politics hallucinating policy show hindu religion,0
3555,liberal party fucking antiamerican cant even stand pick clear side fight state sponsored,0
3556,subtle design feature ar15 rifle raised technical legal question derailing case people,0
3557,great younger age isnt common wish much greater year ahead bro stay focused,0
3558,consider possibility whats actually driving opponent crazy fact surging poll,0
3559,design ar15 could derail charge tied popular rifle associated press,0
3560,im sorry want apologize think misunderstood original comment entirely tend h,0
3561,meta meta usual derail despotic address meaningful address,0
3562,6 month video protester smashing burning try derail train entire train smashed,1
3563,ultimately hell answer american people elitistwarmonging neocon scum ha,0
3564,thats exactly whats happening tried hard derail joker success probably goi,0
3565,warning got invite fixing science conference na political org,0
3566,msm whatever think derail bernie2020 work could bernie friend,0
3567,looking data analytics solution erp answer yes sure look hidden cost tha,0
3568,msm whatever think derail bernie2020 work could bernie fr,0
3569,always maintained wait proper fact emerge appeal everyone let u spirit,0
3570,48th nation,0
3571,prostitute possibly soviet spy scamm,0
3572,well typically two vote brexit,0
3573,sick reporter saying trump bending truth healthcare iran whatever lying,0
3574,run race desire cross threshold stronginvest considerable time learning financial,0
3575,insisting intra afghan dialogue signing agreement taliblan u,0
3576,socialselling tremendously effective deploy properly easy fall trap,0
3577,yeah seemed tempting reduce coverage totalled car glad good insu,0
3578,still want support anti s386 iranvsus iranian lobby,0
3579,actually ask human look likenot human workedinherited train always derail,0
3580,rick wilson republican ad man tie rudy giuliani dick cheney chris christie offering friend,0
3581,warren wouldnt explicitly confirm story believed bad campaign derail last precaucus debate,0
3582,point historic figuremonuments blatant reference cecil rhodes confederate statue sti,0
3583,heard street deteriorating relation beijing wont derail taiwan fundamental strength,0
3584,abby huntsman really flourish panelist meghan mccain isnt derail conversation alt right trum,0
3585,myth british le racist country british people already definition racism tha,0
3586,govtshd provide employment hindu esp dalits defuse curren,0
3587,dude chill major presidential candidate tell blatant childish highschool,0
3588,moved great mutually supportive conversation close ideological ally worki,0
3589,design ar15 could derail charge tied popular rifle abc news via,0
3590,design ar15 could derail charge tied popular rifle,0
3591,subtle design feature ar15 rifle raised technical legal question derailing case people,0
3592,suck wanted like guy vince vaughn rubbing elbow trump melanie game,0
3593,subtle design feature ar15 rifle raised technical legal question derailing case pe,0
3594,carney need sacking man liar fraud mountebank sly duplicitous pe,0
3595,design ar15 could derail charge tied popular rifle 10tv,0
3596,democrat enslave want control control wa,0
3597,democrat enslave want control control,0
3598,hi running reduced service moment due derailed freight train wh,1
3599,got work learn hitchin trending england learn train derailed,0
3600,french designer cancel paris fashion show derailed strike chaos,0
3601,thats derailing derailing even instead arguing point youre saying,0
3602,hi running reduced service moment due derailed freight,1
3603,equality network public support scotland want census derailed trans people get way,0
3604,one busiest day im currently stuck king cross due derailed train causing delaysam,1
3605,train cambridge king cross cancelled due derailed train hope everyone okay,1
3606,fru ndi received money frm cameroon gov amp derailed sdf party frm original purpose creation championing,0
3607,continue play constructive part towards success afghan reconciliation process doesnt get,0
3608,yeah bright derailed see f,0
3609,guest lecturing 9 morning course freight train der,1
3610,supposed going london bridge derailed freight train near hitchin load cancelled train,1
3611,big fan national rail app alert delay croydon gatwick yet fact,1
3612,hell horrible information around hitchen none driver wh,0
3613,train derailed north hitchin service stopping however service running london passing,1
3614,train derailed north hitchin service stopping however service running lond,1
3615,apparently freight train derailed hitchin amateur,1
3616,infinite wisdom decided try train morning instead wfh problem fixed,0
3617,good morning sorry hear due derailed freight train hitchin apology inconvenience caused,1
3618,really champion mindset kind wish got title shot see kod,0
3619,bit weird really platform packed train since 7 freight train derailed depot sounded,1
3620,great northern thameslink service cambridge peterborough call hitchin morning,1
3621,taking train hitchin morning aware freight train derailed depot service ar,1
3622,time reach end binding chaos series back road building better world arm,0
3623,freight train right derailed hitchin morning train left delayed creepi,1
3624,good morning derailed freight train hitchin investigated,1
3625,taking train hitchin morning aware freight train derailed depot service,1
3626,hi kevin im sorry freight train derailed causing delay service ple,1
3627,good morning train derailed hitchin delay cancellation really sorry,1
3628,today 100 derailed train hitchin,1
3629,hi kevin im sorry freight train derailed causing delay ser,1
3630,good morning informed derailed freight train hitchin morning,1
3631,freight train derailed ahead check,1
3632,good morning train derailed hitchin delay cancellation really sorry,1
3633,derailed depot oops,1
3634,good morning service delayed derailed train apology inconvenience caused,1
3635,derailed entire day still waiting ortho referral,0
3636,welcome back marketa vondrousova 20yo roland garros finalist win 1st match since wimbledon 63 60 tatian,0
3637,sorry break cant vote change youre voting democrat republican nothing derailed tr,0
3638,look mentally derailed,0
3639,fitting targeting penalty derailed clemsons defense like osus semifinal feel,0
3640,excellent writeup watch 2020 writes much ride future u,0
3641,unfortunate part hindu society whenever start discussion society someone br,0
3642,unfortunate part hindu society whenever start discussion society,0
3643,study derailed selfesteem amp sometimes think im dumbim 3rd level amp thinking,0
3644,legit someone approach gym sorry work talk instantly deraile,0
3645,oh uh train thought derailed snaccos,0
3646,always tend lose focus derailed excitement bootlicking becomes part business agenda,0
3647,study derailed selfesteem amp sometimes think im dumbim 3rd level amp thinking quitting school,0
3648,trump locking child cage apart family wrong boomer yeah obama built cage,0
3649,idea ubi workerowned coperatives pay min highestpaid worker manager,0
3650,true amp unlike many democrat amy klobuchar debate trump without getting derailed petty 3rd grade antic shes,0
3651,remember cheer derailed campaign howard dean year later trump mo,0
3652,remember cheer derailed campaign howard dean year late,0
3653,guarantee almost derailed academy award season leaving everyone thin,0
3654,french designer cancel paris fashion show derailed strike chaos,1
3655,real agenda kuala lumpur islamic summit plan derailed saudi arabia,0
3656,tweet derailed quickly,0
3657,side note ive kicking around idea streaming couple hour monwedfri kinda got dera,0
3658,favorite type american one swears hate trump like much cant even joke guy w,0
3659,today learned jerry springer formerly lawyer politician mayor cincinnati h,0
3660,momma boy thing perhaps go back raised might b breaking sweat judgi,0
3661,phil doesnt get tip get derailed hype train,0
3662,shown thread dm crumpled fetal position floor party derailed session make,0
3663,exposed derailed,0
3664,id believe considering fact bernie derailed another woman bowing 2016 woman,0
3665,ic created containment board drawthreads kept getting derailed found,0
3666,eventually apologize walk back monday remark effort move past fallout,0
3667,headline cnn day today bernie say woman cant win presidency th,0
3668,real agenda kuala lumpur islamic summit plan derailed saudi arabia,0
3669,avoid getting derailed business personal work need,0
3670,oh dear conversation completely derailed,0
3671,hi im sorry hear running reduced service moment due freight train derail,1
3672,hi running reduced service moment due freight train derailment next ser,1
3673,update freight derailment yard hitchin cut cable controlling set point 1 track,1
3674,freight train experienced low speed derailment hitchin 1 train dont experience 2 thank goodness,1
3675,hi im sorry running reduced service morning freight tr,1
3676,hi im sorry hear running reduced service moment due freight tr,1
3677,hi im sorry running reduced service morning,1
3678,hi ally im sorry running reduced service moment due freight train derailm,1
3679,hope derailment wasnt serious,0
3680,amazing train derailment hitching cause carnage across network causing hoard blue bl,1
3681,tlupdates informed freight train low speed derailment within depotsidings hitchi,1
3682,freight train due hitchin 0550 morning dera,1
3683,update freight derailment yard hitchin cut cable controlling set point 1 track throug,1
3684,hi ally im sorry running reduced service moment due freight tra,1
3685,hi emily run reduced service due derailment service run thro,1
3686,hopeless questioning poor prep want brief answer shorten blinkin,0
3687,hi emily run reduced service due derailment service,1
3688,yesterday power problem stranded royston today train derailment temporarily stranded,0
3689,derailment cleared ie expect chaos afternoon rush hour,0
3690,freight train experienced low speed derailment hitchin affecting service,1
3691,train low speed derailment hitchin result train calling hitchin station furth,1
3692,freight train experienced low speed derailment hitchin 1 train dont experience 2 thank goodness wasnt faster,1
3693,gnupdates informed freight train low speed derailment within depotsidings hitchi,1
3694,derailment depot apparently,1
3695,freight train experienced low speed derailment hitchin affecting service betwee,1
3696,tell lie train get showing cancelled due lack crew hour late,1
3697,0714 hitcam stuck royston please e clear derailment,1
3698,delay 60 minute cancellation thameslink stevenage cambridge stevena,1
3699,tell lie train get showing cancelled due lack crew hou,1
3700,hichin derailment told could use train tix local bus let get ste accepting,1
3701,delay 60 minute cancellation thameslink stevenage cambridge ste,1
3702,delay 60 minute cancellation greatnorthern stevenage cambridge,1
3703,hi lisa im sorry freight train experienced low speed derailment hitchin,1
3704,plse explain decision turf whole train customer train gatwick derailment hit,1
3705,hi lisa im sorry freight train experienced low speed derailment hitchin,1
3706,plse explain decision turf whole train customer train gatwick derailme,1
3707,stuck baldock 20 minute due derailment hitchin driver,1
3708,helpful derailment hitchin 65 mile away think people brighton,0
3709,hi simon apologise disruption due freight train derailment hitchin area,1
3710,stuck baldock 20 minute due derailment hitchin driver doe,1
3711,freight train lowspeed derailment hitchin area route line edinburgh,1
3712,hi dave freight train experienced low speed derailment hitchin,1
3713,appears fairly recent derailment hitchin cause 651 kgx cbg cancelled,0
3714,hi freight train experienced low speed derailment hitchin area causing delay,1
3715,hi freight train experienced low speed derailment hitchin area causing,1
3716,tlupdates informed freight train low speed derailment within depotsidings,1
3717,gnupdates informed freight train low speed derailment within depotsidings,1
3718,derailment ay hitchin,1
3719,derailment hitchin train delayed,1
3720,true there derailment hitchin,0
3721,morning sat 0705 letchworth stopped red signal update train derai,1
3722,derailment hitchen happened affecting southbound train,1
3723,thier apparent derailment hitchin morning seem know anything ab,1
3724,letchworth staff say derailment hitchin info pls train london,0
3725,hey waiting hitchin due safety check freight train derailment idea long,0
3726,im cambridge london train driver say derailment hitchen blocking southbound train h,1
3727,deliberately got early train morning derailment significant delay,0
3728,segment u 12 closed friday result union pacific train derailment near knapp dunn county,1
3729,38 year ago today dcsbravest battled 4 alarm fire overnight following day responded twin tragedy,0
3730,highway closed major train derailment western wisconsin,1
3731,train derailed dunn county causing pileup train car highway 12 sunday,1
3732,endowed flesh ego drowned depth virtual self sufficiency depicts perfe,0
3733,train derailment cause pileup dunn county,1
3734,nia investigating hadiya love jihadcase nia investigating kanpur train terror attackcase feku h,0
3735,come laugh stick around f,0
3736,train car scattered derailment area mississauga disaster railroad raildisaster derailment,1
3737,nia investigating hadiya love jihadcase nia investigating kanpur train terror attackcase,0
3738,jasper prince rupert train running normally,0
3739,bingo 2020 start checking following category board 011320 mechanical prob,0
3740,working local news long time ago covered freight train,0
3741,nearly spectacular practically standard derailment,0
3742,protect instead little coward want engage contact whet,0
3743,unnecessary know unnecessary may something track th,0
3744,far cost associated cleanup official number yet,0
3745,new diesel fuel spilled dunn county train derailment wqow,1
3746,think train derailment would hilarious fate vehicle suffer beat hell fate,0
3747,wellit great wile lastedi miss old igphe way interested videosmore great gameslike,0
3748,one right mind would want son daughter behave like donald trump like one right mi,0
3749,beginning paycheck like whole fridge stocked food towards end pay period,0
3750,sheltering cloud restless land desolate tree buyart originalart art fineart interiordesig,0
3751,son apollo unleash new video desolate july,0
3752,doctorwho companion ben didnt think holiday camp desolate planet good idea,0
3753,desire mareas think im horny creation desolate david,0
